1397	alarmists here are taking overwhelmingly good news about global warming improving plant health and making it seem like this good news is actually bad news because healthier plants mean more pollen.
1399	Since the end of 2012, moreover, total polar ice extent has largely remained above the post-1979 average.
1400	The late 1970s marked the end of a 30-year cooling trend.
1401	As a result, the polar ice caps were quite likely more extensive than they had been since at least the 1920s.
1402	Beginning in 2005, however, polar ice modestly receded for several years.
1404	receding polar ice caps have little if any negative impact on human health and welfare, and likely a positive benefit
1406	Yet, according to NASA, only one temperature sensing station is necessary for the two cities and the vast area between them to be adequately represented in their network.”
1407	“In their award winning book, ‘Taken By Storm’ (2007), Canadian researchers Christopher Essex and Ross McKitrick explain: ‘Temperature is not an amount of something [like height or weight].
1410	“Temperature, like viscosity and density, and of course phone numbers, is not something that can be meaningfully averaged. ‘
1411	“Even if you could calculate some sort of meaningful global temperature statistic, the figure would be unimportant.
1414	The earth is 15 years from a “mini ice-age” that will cause bitterly cold winters during which rivers such as the Thames freeze over, scientists have predicted.
1416	In recent decades this warming has been accompanied by a constant rise in the sea level and, it would appear, by an increase of extreme weather events, even if a scientifically determinable cause cannot be assigned to each particular phenomenon.
1420	Concentrated in the atmosphere, these gases do not allow the warmth of the sun’s rays reflected by the earth to be dispersed in space.
1421	The melting in the polar ice caps and in high altitude plains can lead to the dangerous release of methane gas
1425	Each year sees the disappearance of thousands of plant and animal species which we will never know, which our children will never see, because they have been lost for ever.
1426	Many of the world’s coral reefs are already barren or in a state of constant decline.
1430	Seventeen of the 18 warmest years have occurred since 2000.
1431	Eleven percent of all global greenhouse gas emissions caused by humans are caused by deforestation — comparable to the emissions from all of the cars and trucks on the planet.
1433	Eleven percent of the world’s population is currently vulnerable to climate change impacts such as droughts, floods, heat waves, extreme weather events and sea-level rise.
1434	Just 0.7% of the world’s forests are coastal mangroves, y​​​​​​et they store up to 10 times as much carbon per hectare as tropical forests.
1435	An area of coastal ecosystems larger than New York City is destroyed every year, removing an important buffer from extreme weather for coastal communities and releasing carbon dioxide into the atmosphere.
